time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
40.498000,1.642973,0.574041,1.174182,1.966082,0.073810,0.985541,1.937832,0.079242,0.975324,1.639883,1.639035,train
40.998000,0.334655,0.922340,-1.185615,1.642973,0.574041,1.174182,1.966082,0.073810,0.985541,0.690420,0.693291,train
41.498000,-0.304379,0.070344,-2.034295,0.334655,0.922340,-1.185615,1.642973,0.574041,1.174182,0.600738,0.598762,train
41.998000,1.580138,-0.456999,0.489907,-0.304379,0.070344,-2.034295,0.334655,0.922340,-1.185615,1.366734,1.361505,train
42.498000,1.723696,-0.419299,0.245811,1.580138,-0.456999,0.489907,-0.304379,0.070344,-2.034295,1.605570,1.606080,train
42.998000,1.798587,-0.173307,-0.077645,1.723696,-0.419299,0.245811,1.580138,-0.456999,0.489907,1.588839,1.588346,train
43.498000,1.189741,0.531248,0.165484,1.798587,-0.173307,-0.077645,1.723696,-0.419299,0.245811,1.575907,1.574943,train
43.998000,0.885761,1.028759,-0.464212,1.189741,0.531248,0.165484,1.798587,-0.173307,-0.077645,0.606604,0.609194,train
44.498000,0.521975,1.024319,-0.704063,0.885761,1.028759,-0.464212,1.189741,0.531248,0.165484,0.708619,0.706883,train
44.998000,0.409212,1.101244,-1.456665,0.521975,1.024319,-0.704063,0.885761,1.028759,-0.464212,0.426476,0.426419,train
45.498000,-0.476093,0.700443,-1.791328,0.409212,1.101244,-1.456665,0.521975,1.024319,-0.704063,-0.253017,-0.250228,train
45.998000,-0.527398,0.519989,-1.288333,-0.476093,0.700443,-1.791328,0.409212,1.101244,-1.456665,-1.149611,-1.145952,train
46.498000,-1.015818,0.052272,-0.010584,-0.527398,0.519989,-1.288333,-0.476093,0.700443,-1.791328,-1.203648,-1.201733,train
46.998000,-1.123173,-0.358626,0.496035,-1.015818,0.052272,-0.010584,-0.527398,0.519989,-1.288333,-1.406990,-1.405137,train
47.498000,-1.402524,-0.900647,0.961999,-1.123173,-0.358626,0.496035,-1.015818,0.052272,-0.010584,-1.121124,-1.120988,train
47.998000,-1.276681,-1.643631,0.607019,-1.402524,-0.900647,0.961999,-1.123173,-0.358626,0.496035,-1.171114,-1.170085,train
