time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
53.998000,0.000000,0.432533,0.718845,0.718845,0.568478,0.568478,-0.061161,3.433280,3.188067
54.498000,0.000000,0.362965,0.723491,0.723491,0.462235,0.462235,-0.238562,3.402699,3.282247
54.998000,0.000000,0.553398,0.710448,0.710448,0.677397,0.677397,0.192005,3.283418,3.371637
55.498000,0.000000,0.659521,0.689977,0.689977,0.693608,0.693608,0.325210,3.379421,3.440321
55.998000,0.000000,0.658759,0.674799,0.674799,0.693755,0.693755,0.323513,3.542026,3.481581
56.498000,0.000000,0.482773,0.667885,0.667885,0.503088,0.503088,-0.052403,3.703782,3.500293
56.998000,0.000000,0.367325,0.692649,0.692649,0.489216,0.489216,-0.203866,3.677581,3.489476
57.498000,0.000000,0.508567,0.713562,0.713562,0.534065,0.534065,-0.028495,3.575648,3.458985
57.998000,0.000000,0.359723,0.751171,0.751171,0.512137,0.512137,-0.235451,3.561401,3.432812
58.498000,0.000000,0.380961,0.739045,0.739045,0.465316,0.465316,-0.237136,3.443675,3.389443
58.998000,0.000000,0.184830,0.756870,0.756870,0.449920,0.449920,-0.454631,3.325107,3.322963
59.498000,0.000000,0.319775,0.744446,0.744446,0.582234,0.582234,-0.152215,3.097792,3.228375
59.998000,0.000000,0.288325,0.758613,0.758613,0.620558,0.620558,-0.151899,3.021684,3.127866
60.498000,0.000000,0.342662,0.760263,0.760263,0.575152,0.575152,-0.137022,2.945735,3.028377
60.998000,0.000000,0.257185,0.784636,0.784636,0.576528,0.576528,-0.238645,2.877223,2.926633
61.498000,0.000000,0.329894,0.748077,0.748077,0.523161,0.523161,-0.170813,2.757901,2.835156
61.998000,0.000000,0.238299,0.740473,0.740473,0.585960,0.585960,-0.183464,2.672494,2.755193
62.498000,0.000000,0.283560,0.693489,0.693489,0.594391,0.594391,-0.073614,2.580763,2.685841
62.998000,0.000000,0.230087,0.722399,0.722399,0.716614,0.716614,-0.030094,2.543955,2.605957
63.498000,0.000000,0.232428,0.747634,0.747634,0.761235,0.761235,-0.006862,2.528909,2.528291
63.998000,0.000000,0.085472,0.801613,0.801613,0.726265,0.726265,-0.242424,2.525478,2.452061
